state,year,quarter,transaction_count,transaction_amount,transaction_type_Financial Services,transaction_type_Merchant payments,transaction_type_Others,transaction_type_Peer-to-peer payments,transaction_type_Recharge & bill payments,avg_amount_per_transaction,amount_scaled,count_scaled,principal_component_1,principal_component_2
rajasthan,2020,1,48269912,165468574323.88968,False,False,False,True,False,3427.985829431172,0.36064533104323854,0.009054256946394891,96830843829.35979,-39489381.56503526
rajasthan,2020,1,27880848,13643061482.35596,False,True,False,False,False,489.3345239124707,-0.2048269464632867,-0.11153399451231887,-54994664026.18976,4439118.545129288
rajasthan,2020,1,25631131,10961167179.81334,False,False,False,False,True,427.65054650976344,-0.21481562920117026,-0.12483962930295679,-57676559041.12837,3325527.689242158
rajasthan,2020,1,72604,34466606.25327997,True,False,False,False,False,474.72048720841786,-0.25551199269978636,-0.27600194262888117,-68603269461.542786,-17604138.984834924
rajasthan,2020,1,404317,200968968.6958118,False,False,True,False,False,497.0579240937478,-0.25489185667430253,-0.27404007274333253,-68436766973.51762,-17342961.10363605
rajasthan,2020,4,88730951,321280847680.95026,False,False,False,True,False,3620.843054876649,0.9409662496404155,0.24835538156951759,252643120345.75635,-65034812.48822287
rajasthan,2020,4,67367264,46142484518.08269,False,True,False,False,False,684.9392683972246,-0.08378324031857722,0.12200285945073595,-22495227179.091988,30157860.298542038
rajasthan,2020,4,33455755,18123908525.97014,False,False,False,False,True,541.7276796165604,-0.1881380861032001,-0.07856199112977304,-50513815022.95625,8115812.067349035
rajasthan,2020,4,169294,136058685.85299307,True,False,False,False,False,803.682858535997,-0.25513361423392317,-0.27543008322260615,-68501677350.098366,-17550486.259017807
rajasthan,2020,4,560171,351480425.6482615,False,False,True,False,False,627.4520202728479,-0.25433127858198573,-0.2731182961800314,-68286255464.04648,-17250868.008826274
rajasthan,2020,2,49160792,166176386876.30048,False,False,False,True,False,3380.262605946228,0.3632815702929435,0.014323241410789084,97538656695.66011,-38898350.972473145
rajasthan,2020,2,31681776,13014051935.53691,False,False,False,False,True,410.77406568170005,-0.2071696848763251,-0.08905394042840084,-55623671906.3874,8506512.359497707
rajasthan,2020,2,20756594,14354151782.39264,False,True,False,False,False,691.5465891173012,-0.20217849928238218,-0.15366939282230246,-54283576807.9941,-2986372.6892951373
rajasthan,2020,2,92875,76662259.20544848,True,False,False,False,False,825.434823208059,-0.2553548355031521,-0.27588205265034565,-68561073803.78949,-17601743.2533724
rajasthan,2020,2,262619,142020149.829893,False,False,True,False,False,540.783986801766,-0.25511141083378835,-0.27487812563556907,-68495715847.12129,-17459686.711392988
rajasthan,2020,3,73247856,249006720239.33432,False,False,False,True,False,3399.5086523670307,0.6717821403012688,0.1567827937734739,180368992830.25256,-49900550.649197236
rajasthan,2020,3,45149210,27714680562.343937,False,True,False,False,False,613.8464119824896,-0.15241737220635515,-0.009402696129220102,-40923038893.48958,15746344.930428639
rajasthan,2020,3,30148875,16650017440.553333,False,False,False,False,True,552.2599911457172,-0.19362757553925494,-0.09812006780184544,-51987707377.00768,5433314.129084356
rajasthan,2020,3,146383,113675141.51464571,True,False,False,False,False,776.5597201495099,-0.2552169814727935,-0.27556558710984547,-68524060902.13397,-17563914.95731354
rajasthan,2020,3,396352,193212778.7117864,False,False,True,False,False,487.47774380294885,-0.2549207445096403,-0.2740871806156149,-68444523166.17987,-17347640.362448476
rajasthan,2022,1,267467038,171182113048.26318,False,True,False,False,False,640.0119967241092,0.3819253365879284,1.3054648302378105,102544474899.12971,177287308.88317472
rajasthan,2022,1,241739380,814525435614.1678,False,False,False,True,False,3369.4362731225992,2.778049723203122,1.1533022153993957,745887728838.6127,-120978693.24651566
rajasthan,2022,1,54555117,35542881861.07577,False,False,False,False,True,651.5040900943493,-0.1232613316020749,0.04622721795184198,-33094834312.578423,21836004.592985168
rajasthan,2022,1,244029,243340851.71204624,True,False,False,False,False,997.1800552887003,-0.2547340431109363,-0.27498807357602467,-68394395162.20594,-17521199.011989247
rajasthan,2022,1,956656,556409604.9103613,False,False,True,False,False,581.6193123864391,-0.25356802234424236,-0.27077334141017984,-68081326135.21055,-16941196.815050848
rajasthan,2022,4,457778005,275194969877.524,False,True,False,False,False,601.1537620238526,0.7693199578238944,2.431032278745843,206557403016.3584,323535483.9019468
rajasthan,2022,4,334316758,1130380720682.5203,False,False,False,True,False,3381.166793566837,3.9544488939834217,1.7008380972649093,1061743024783.5244,-162206516.03298604
rajasthan,2022,4,72510470,50609988781.94313,False,False,False,False,True,697.9680145769726,-0.0671440749795342,0.15242162798429715,-18027721137.295662,33408505.236702733
rajasthan,2022,4,244442,270658680.97924906,True,False,False,False,False,1107.251131062784,-0.2546322981878127,-0.27498563094561007,-68367077335.21502,-17532358.61370821
rajasthan,2022,4,725173,500361375.69058275,False,False,True,False,False,689.9889759968763,-0.2537767732928408,-0.27214241505732806,-68137374457.46381,-17148936.18619907
rajasthan,2022,2,336900860,208238945148.44,False,True,False,False,False,618.1015541142875,0.5199430574089017,1.7161214051092992,139601333088.30383,231022807.14402452
rajasthan,2022,2,263380560,905641041298.7231,False,False,False,True,False,3438.526523364986,3.1174086892855155,1.2812959308393632,837003335515.1404,-137936651.35249057
rajasthan,2022,2,59879660,38325678033.564705,False,False,False,False,True,640.0450175162101,-0.11289684107579435,0.07771847866821101,-30312036134.16459,25981676.299703866
rajasthan,2022,2,170705,175399371.37748802,True,False,False,False,False,1027.49990555337,-0.25498709032877803,-0.27542173806155273,-68462336667.50619,-17565741.081271596
rajasthan,2022,2,838365,452454748.2866859,False,False,True,False,False,539.6870674308755,-0.2539552009444175,-0.2714729568929358,-68185281032.61771,-17015449.600052234
rajasthan,2022,3,398104319,230609701751.02283,False,True,False,False,False,579.2695299822226,0.603262668512801,2.0781006555562582,161972113611.05804,282749378.2487032
rajasthan,2022,3,299383118,961209376585.5621,False,False,False,True,False,3210.633194706597,3.324372278762679,1.4942279966399772,892571681067.5071,-125474408.08107916
rajasthan,2022,3,69118763,46000391408.24405,False,False,False,False,True,665.5268325366883,-0.08431246437937326,0.13236185395100755,-22637319534.19626,31969553.78370689
rajasthan,2022,3,215235,220271929.84233993,True,False,False,False,False,1023.4020017299227,-0.2548199630300931,-0.2751583716393641,-68417464094.203606,-17540220.364536233
rajasthan,2022,3,719925,449514643.6055006,False,False,True,False,False,624.3909346188847,-0.2539661513285727,-0.2721734536152361,-68188221187.209595,-17132644.078295343
rajasthan,2019,1,27621606,55246071722.22856,False,False,False,True,False,2000.1035320766127,-0.04987704040881226,-0.1130672448608714,-13391657629.19461,-13444330.009841677
rajasthan,2019,1,11650961,3821181816.6204696,False,False,False,False,True,327.97138507462773,-0.24140841791713522,-0.20752337856165579,-64816549686.04107,-7629942.211662263
rajasthan,2019,1,3921438,1664209334.5681162,False,True,False,False,False,424.38751666304967,-0.24944203571375745,-0.2532385552455836,-66973525248.99098,-14445710.239538709
rajasthan,2019,1,359993,36340412.57538466,True,False,False,False,False,100.94755335627265,-0.2555050137309113,-0.27430222080749356,-68601395533.642746,-17317543.807742376
rajasthan,2019,1,402042,373355289.5614773,False,False,True,False,False,928.647478525819,-0.254249805917177,-0.2740535279108708,-68264380669.084,-17418263.80293444
rajasthan,2019,4,43354317,140449134717.291,False,False,False,True,False,3239.565156044114,0.26746073227921563,-0.020018338339450308,71811404385.38124,-33806037.01940841
rajasthan,2019,4,20604852,9028860435.054995,False,False,False,False,True,438.19098700903044,-0.22201248218950945,-0.1545668495399256,-59608867741.773346,-882171.3135615811
rajasthan,2019,4,20544791,9721826538.354998,False,True,False,False,False,473.2015301764324,-0.21943153835909496,-0.15492207187729537,-58915901726.09701,-1235792.261787545
rajasthan,2019,4,101805,25014672.38444693,True,False,False,False,False,245.71162894206503,-0.25554719631261547,-0.2758292374212833,-68612721382.19313,-17570933.8821246
rajasthan,2019,4,468477,227573686.58499068,False,False,True,False,False,485.77344583616843,-0.25479276772584025,-0.2736606074469564,-68410162230.83571,-17290071.617015824
rajasthan,2019,2,25257679,79466464089.34059,False,False,False,True,False,3146.229868917908,0.040331516622228454,-0.1270483586337274,10828731563.185593,-26068696.99238064
rajasthan,2019,2,14968290,5709279550.854211,False,False,False,False,True,381.424969108309,-0.23437622085124135,-0.18790350274865703,-62928450715.91315,-5112464.873836197
rajasthan,2019,2,9026751,3435472167.201069,False,True,False,False,False,380.58789560065065,-0.24284498881903022,-0.22304389953115547,-65202260412.53983,-10090754.508041501
rajasthan,2019,2,182685,34134486.762421735,True,False,False,False,False,186.84887518089462,-0.25551322967479395,-0.2753508840364501,-68603601534.37044,-17493917.299544524
rajasthan,2019,2,573881,461962878.5071422,False,False,True,False,False,804.9802633422995,-0.2539197880289597,-0.2730372103132403,-68175773015.29329,-17283961.488007423
